,Brewery,Address,City,State,ZIP Code
109,Black Bridge Brewery,421 E Beale St,Kingman,AZ,86401
110,Black Horse Brewery,1058 Burton Rd,Show Low,AZ,85901
111,BlackRock Brewers,1664 S Research Loop Ste 200,Tucson,AZ,85710
112,Bone Haus Brewing,14825 E Shea Blvd Ste 101,Fountain Hills,AZ,85268
113,Borderlands Brewing Co,119 E Toole Ave,Tucson,AZ,85701
114,Brewery in Planning - Sierra Vista,,Sierra Vista,AZ,85635
115,"Button Brew House, LLC",6800 N Camino Martin Ste 160,Tucson,AZ,85741
116,Catalina Brewing Company,6918 N Camino Martin,Tucson,AZ,85741
117,Cave Creek Beer Co,7100 E Cave Creek Rd,Cave Creek,AZ,85331
118,College Street Brewhouse and Pub,1940 College Dr,Lake Havasu City,AZ,86403
119,Copper Brothel Brewery,3112 Hwy 83,Sonoita,AZ,85637
120,Copper Hop Brewing Co/Copper Hop Ranch,5 Fairview Ln,Elgin,AZ,85611
121,Copper Mine Brewing Co,3455 S Palo Verde Rd STE 135,Tucson,AZ,85713
122,Coppertop Alehouse and Still Works,220 S Montezuma St,Prescott,AZ,86303
123,Corbett Brewing Company,309 E 7th St,Tucson,AZ,85705
124,CRAFT 64,6922 E Main St,Scottsdale,AZ,85251
125,Crooked Tooth Brewing Co.,228 E 6th St,Tucson,AZ,85705
126,Dark Sky Brewing Co.,117 N Beaver St Ste A,Flagstaff,AZ,86001
127,Desert Eagle Brewing Company,150 W Main St,Mesa,AZ,85201
128,Desert Monks Brewing Co.,1094 S Gilbert Rd Ste 101,Gilbert,AZ,85296
129,Dillinger Brewing Company,3895 N Oracle Rd,Tucson,AZ,85705
130,Dragoon Brewing Co,1859 W Grant Rd Ste 111,Tucson,AZ,85745
131,Dubina Brewing,17035 N 67th Ave Ste 6,Glendale,AZ,85308
132,Edge Of The World Brewery,70 N Central St,Colorado City,AZ,86021
133,Elevate Your Passion Brewing,2209 W 1st St # A107,Tempe,AZ,85281
134,Flagstaff Brewing Co,16 E Route 66,Flagstaff,AZ,86001
135,Flix Brewhouse,1 W Chandler Blvd,Chandler,AZ,85225
136,Flying Basset Brewing,720 W Ray Rd,Gilbert,AZ,85233
137,Four Peaks Brewery & Taproom,2401 S Wilson St,Tempe,AZ,85282
138,Four Peaks Brewing Co,1340 E 8th St Ste 104,Tempe,AZ,85281
139,Freak'N Brewing Company,9299 W Olive Ave Ste 513,Peoria,AZ,85345
140,Front Pourch Brewing,,Phoenix,AZ,
141,Goldwater Brewing Co,3608 N Scottsdale Rd,Scottsdale,AZ,85251
142,Gordon Biersch Brewery Restaurant - Glendale,6915 N 95th Ave,Glendale,AZ,85305
143,Gordon Biersch Brewery Restaurant - Tempe,420 S Mill Ave Ste 201,Tempe,AZ,85281
144,Grand Canyon Brewing,301 N 7th St Ste 101,Williams,AZ,86046
145,Grand Canyon Brewing Company,233 W Route 66,Williams,AZ,86046
146,Granite Mountain Brewing,123 N Cortez St,Prescott,AZ,86302
147,Green Feet Brewing,3669 E 44th St,Tucson,AZ,85713
148,Greenwood Brewing LLC,600 N 4th St Apt 210,Phoenix,AZ,85004
149,Hangar 24 Craft Brewing - Lake Havasu City,5600 AZ-95 Ste 6,Lake Havasu City,AZ,86404
150,Harbottle Brewing Company,3820 S Palo Verde Rd Ste 102,Tucson,AZ,85714
151,Helio Basin Brewing Company,3935 E Thomas Rd,Phoenix,AZ,85018
152,Helluva Brewing Company,3950 W Ray Rd Ste 5,Chandler,AZ,85226
153,Helton Brewing Company,2144 E Indian School Rd,Phoenix,AZ,85016
154,Historic Brewing Company,4366 E Huntington Dr Bldg 2,Flagstaff,AZ,86004
155,HOP Central Brewery and Taproom,5055 W Ray Rd Ste 2,Chandler,AZ,85226
156,Huss Brewing,1520 W Mineral Rd Ste 102,Tempe,AZ,85283
157,Insurgent Brewing Co. LLC,990 N State Route 89 Ste B,Chino Valley,AZ,86323
158,Iron John's Brewing Company,245 S Plumer Ave Ste 27,Tucson,AZ,85719
159,LazyG Brewhouse,,Prescott,AZ,86303
160,Lochiel Brewing,7143 E Southern Ave Ste 131,Mesa,AZ,85209
161,Loco Patron Mexican Brewery,14950 N Northsight Blvd,Scottsdale,AZ,85260
162,Lonesome Valley Brewing,3040 N Windsong Dr Ste 101,Prescott Valley,AZ,86314
163,Lumberyard Brewing Co Taproom and Grille,5 S San Francisco St,Flagstaff,AZ,86001
164,McFate Brewing Company,1312 N Scottsdale Rd,Scottsdale,AZ,85257
165,McFate's Tap + Barrel,7337 E Shea Blvd Ste 105,Scottsdale,AZ,85260
166,Mesquite River Brewing,"13610 N Scottsdale Rd, Suite 18",Scottsdale,AZ,85254
167,"Mother Bunch Brewing, Inc.",825 N 7th St,Phoenix,AZ,85006
168,Mother Road Brewery and Taproom,1300 East Butler Ave Ste 200,Flagstaff,AZ,86001
169,Mother Road Brewing Co,1300 E BUTLER AVE STE 200,Flagstaff,AZ,86001
170,Motosonora Brewing Company,,Tucson,AZ,85719
171,Mudshark Brewing Co,210 Swanson Ave,Lake Havasu City,AZ,86403
172,North Mountain Brewing Co,522 E Dunlap Ave,Phoenix,AZ,85020
173,O.H.S.O. Brewery,10810 N Tatum Blvd Ste 126,Phoenix,AZ,85028
174,O.H.S.O. Brewery - Gilbert,335 N Gilbert Rd,Gilbert,AZ,85234
175,O.H.S.O. Eatery + NanoBrewery,4900 E Indian School Rd,Phoenix,AZ,85018
176,Oak Creek Brewery & Grill,336 State Route 179 Ste D201,Sedona,AZ,86336
177,Oak Creek Brewing Co,2050 Yavapai Dr Ste 2C,Sedona,AZ,86336
178,Old Bisbee Brewing,23 Brewery Ave,Bisbee,AZ,85603
179,Old Ellsworth Brewing Company,22005 S Ellsworth Rd,Queen Creek,AZ,85142
180,Oro Brewing Company,210 W Main St,Mesa,AZ,85201
181,Pedal Haus Brewery,730 S Mill Ave. Suite 102,Tempe,AZ,85281
182,Peoria Artisan Brewery,10144 W Lake Pleasant Parkway Ste 1130,Peoria,AZ,85382
183,Peoria Artisan Brewery,10144 W Lake Pleasant Pkwy Ste 1130,Peoria,AZ,85382
184,Pinetop Brewing Company,159 W White Mountain Blvd,Lakeside,AZ,85929
185,Prescott Brewing Co,130 W Gurley St Ste A,Prescott,AZ,86301
186,Prescott Brewing Co - Production Facility,6396 Lear Ln,Prescott,AZ,86301
187,Prison Hill Brewing Co,278 S Main St,Yuma,AZ,85364
188,Public Brewhouse,209 N Hoff Ave,Tucson,AZ,85705
189,Pueblo Vida Brewing Co,115 E Broadway Blvd,Tucson,AZ,85701
190,Ranch House Brewery,31390 S amenity drive,Oracle,AZ,85623
191,Richter Aleworks,8279 W Lake Pleasant Pkwy Ste 110,Peoria,AZ,85382
192,Rickety Cricket Brewing,312 E Beale St,Kingman,AZ,86401
193,Roadrunner Abbey Brewing,,Chandler,AZ,85249
194,Rock Bottom Brewery - Arrowhead,7640 W Bell Rd,Glendale,AZ,85308
195,Saddle Mountain Brewing Company,15651 W Roosevelt St,Goodyear,AZ,85338
196,SanTan Brewing and Distilling - Uptown Phoenix,,Phoenix,AZ,85014
197,SanTan Brewing Co,495 E. Warner Rd.,Chandler,AZ,85225
198,SanTan Brewing Co - Uptown Chandler,8 S. San Marcos Pl,Chandler,AZ,85225
199,Scottsdale Beer Company,8608 E Shea Blvd,Scottsdale,AZ,85260
200,Sedona Beer Company,465 Jordan Rd Ste 1,Sedona,AZ,86336
201,Sentinel Peak Brewing Company,4746 E Grant Rd,Tucson,AZ,85712
202,Sleepy Dog Brewing Co,1920 E University Dr,Tempe,AZ,85281
203,Sonoran Brewing,3002 E Washington St,Phoenix,AZ,85034
204,State 48 Brewery,345 W Van Buren St,Phoenix,AZ,85003
205,State 48 Brewery,13823 W Bell Rd,Surprise,AZ,85374
206,Sun Up Brewing Co.,322 E Camelback Rd,Phoenix,AZ,85012
207,Sun Up Brewing Company 330,,Phoenix,AZ,85012
208,Ten 55 Brewing and Sausage House,110 E Congress St,Tucson,AZ,85701
209,Ten Fifty Five Brewing,110 E Congress Street,Tucson,AZ,85701
210,THAT Brewery - Cottonwood,300 E Cherry St Unit B,Cottonwood,AZ,86326
211,THAT Brewery & Pub - Pine,3270 N Az Highway 87,Pine,AZ,85544
212,The Address Brewing / 1702 Beer & Pizza,1702 E Speedway Blvd,Tucson,AZ,85719
213,The Perch Pub & Brewery,232 S Wall St,Chandler,AZ,85225
214,The Phoenix Ale Brewery,3002 E Washington St # 3002,Phoenix,AZ,85034
215,The Shop Beer Co.,922 W 1st St,Tempe,AZ,85281
216,Thunder Canyon Brewery,220 E Broadway Blvd Ste 2,Tucson,AZ,85701
217,Tombstone Brewing Company,107 E Toughnut St,Tombstone,AZ,85638
218,Transplant City Beer Co,107 W Honeysuckle Ave,Litchfield Park,AZ,85340
219,Two Brothers Scottsdale Tap House and Brewery,4321 N Scottsdale Rd,Scottsdale,AZ,85251
220,Uncle Bear's Brewery,612 E Germann Rd,Gilbert,AZ,85297
221,Verde Brewing Company,724 Industrial Dr Unit 7A,Camp Verde,AZ,86322
222,Walter Station Brewery,4056 E Washington St,Phoenix,AZ,85034
223,Wanderlust Brewing Company,1519 N Main St Ste 102,Flagstaff,AZ,86004
224,Whirling Skirmish Brewing Company,,Scottsdale,AZ,85254
225,Wicked Monkey Brewing Co,,Marana,AZ,85653
226,Wren House Brewing Company,2125 N 24th St,Phoenix,AZ,85008
227,Apple Blossom Brewing Co,1550 E Zion Rd,Fayetteville,AR,72703
228,Bentonville Brewing Co,1700 S 1st St,Rogers,AR,72756
229,Bike Rack Brewing Co,410 SW A St Ste 6,Bentonville,AR,72712
230,Bike Rack Brewing Co - 8th Street Market,801 SE 8th St,Bentonville,AR,72712
231,"Blade & Barrel Brewing Co, LLC",,Searcy,AR,72143
232,Brick Oven Pizza Co / Brick & Forge Brew Works,814 Hwy 62/65 Suite 1009D,Harrison,AR,72601
233,Brick Oven Pizza Co / Brick & Forge Brewing,2410 Linwood Dr,Paragould,AR,72450
234,Bubba Brew's Brewing Company,8091 Airport Rd,Bonnerdale,AR,71933
235,Buffalo Brewing Company At The Water Buffalo,106 S Rodney Parham Rd,Little Rock,AR,72205
236,Columbus House Brewery,701 W North St,Fayetteville,AR,72701
237,Core Brewing - Hot Springs,833 Central Ave,Hot Springs National Park,AR,71901
238,Core Brewing - SoMa,1214 S. Main St,Little Rock,AR,72202
239,Core Brewing & Distilling Co,2470 N Lowell Rd Ste A3,Springdale,AR,72764
240,Crisis Brewing LLC,210 S Archibald Yell Blvd,Fayetteville,AR,72701
241,Damgoode Pies,500 President Clinton Ave,Little Rock,AR,72201
242,Diamond Bear Brewing Co,600 N Broadway St,North Little Rock,AR,72114
243,Flyway Brewing Co,314 Maple St,North Little Rock,AR,72114
244,Fort Smith Brewing Company,7500 Fort Chaffee Blvd,Fort Smith,AR,72916
245,Fossil Cove Brewing Co,1946 N Birch Ave,Fayetteville,AR,72703
246,Gotahold Brewing Company,,Eureka Springs,AR,72632
247,Gravity Brew Works,11512 Hwy 14 E,Big Flat,AR,72617
248,Hawk Moth Brewing Co,710 N 2nd St,Rogers,AR,72756
249,Ivory Bill Brewing Co,516 E Main St,Siloam Springs,AR,72761
250,JJs Brewing Company,3615 n steele blvd,fayetteville,AR,72703
251,Lost Forty Brewing,501 Byrd St,Little Rock,AR,72202
252,New Province Brewing Company,1310 W Hudson Rd,Rogers,AR,72756
253,Norfork Brewing Company,1237 River Ridge Rd,Norfork,AR,72658
254,Ozark Beer Company,109 N Arkansas St,Rogers,AR,72756
255,Prestonrose Farm and Brewing Co.,201 Saint Louis Valley Rd,Paris,AR,72855
256,Puritan Brew Company,205 W Dickson St,Fayetteville,AR,72701
257,Rapp's Barren Brewing Company,1343 E 9th St,Mountain Home,AR,72653
258,Rebel Kettle Brewing Company,822 E 6th St,Little Rock,AR,72202
259,Refined Ale Brewery,2221 S Cedar St,Little Rock,AR,72204
260,Rendezvous Junction Brewing Company,2001 S Bellview Rd Ste 2,Rogers,AR,72758
261,Saddlebock Brewery,16600 Saddlebock Lane,Springdale,AR,72764
262,Slate Rock Brewing Company,113 S Main St,Amity,AR,71921
263,SQZBX Brewery,236 Ouachita Ave,Hot Springs ,AR,71901
264,Stone's Throw Brewing,402 E 9th St,Little Rock,AR,72202
265,Superior Bathhouse Brewery,329 Central Ave,Hot Springs National Park,AR,71901
266,Tiny Tim's Pizza /West Mountain Brewery,21 W Mountain St,Fayetteville,AR,72701
267,Vino's Brewpub,923 W 7th St,Little Rock,AR,72201
268,10 Barrel Brewing Co,1501 E St,San Diego,CA,92101
269,101 North Brewing Company,1304 Scott St Ste D,Petaluma,CA,94954
270,13 Point Brewing,8035 Broadway,Lemon Grove,CA,91945
271,14 Cannons Brewing Company,31125 Via Colinas Ste 907,Westlake Village,CA,91362
272,1849 Brewing Company,468 Sutton Way,Grass Valley,CA,95945
273,1850 Brewing Company,5134 Bullion St,Mariposa,CA,95338
274,21st Amendment Brewery,2010 Williams St Unit A,San Leandro,CA,94577
275,21st Amendment Brewery Cafe,563 2nd St,San Francisco,CA,94107
276,2Kids Brewing Company,8680 Miralani Dr Ste 123,San Diego,CA,92126
277,3 Disciples Brewing,,Sebastopol,CA,95472
278,3 Iron Brewing Company,898 Via Lata Ste A,Colton,CA,92324
279,32 North Brewing Co,8655 Production Ave Ste A,San Diego,CA,92121
280,47 Hills Brewing Co,137 S Linden Ave,South San Francisco,CA,94080
281,5150 Brewing At The Brass Tap Rocklin,5150 Commons Dr Ste 101,Rocklin,CA,95677
282,559 Local Brewing,356 POLLASKY AVE.,Clovis,CA,93612
283,6th and La Brea,600 South La Brea Ave,Los Angeles,CA,90036
284,7 Sisters Brewing Co,181 Tank Farm Rd Ste 110,San Luis Obispo,CA,93401
285,8 Bit Brewing Company,26755 Jefferson Ave Ste F,Murrieta,CA,92562
286,8one8 Brewing Company,8951 de Soto Ave,Canoga Park,CA,91304
287,927 Beer Company,821 Cornwall St,Cambria,CA,93428
288,Abnormal Beer Company,16990 Via Tazon Ste 123,San Diego,CA,92127
289,Absolution Brewing Co,2878 Columbia St,Torrance,CA,90503
290,Acoustic Ales Brewing Experiment,,San Diego,CA,92110
291,Admiral Maltings,661 Howard St,San Francisco,CA,94105
292,Adobe Creek Brewing Company,67 Galli Dr Ste E,Novato,CA,94949
293,Aftershock Brewing Co,28822 Old Town Front St Ste 107,Temecula,CA,92590
294,Alameda Island Brewing Company,1716 Park St,Alameda,CA,94501
295,Alaro Craft Brewery,2004 Capitol Ave,Sacramento,CA,95811
296,Ale Industries,3096 E 10th St,Oakland,CA,94601
297,AleSmith Brewing Co,9990 Alesmith Ct,San Diego,CA,92126
298,Alibi Ale Works - Truckee,10069 Bridge St,Truckee,CA,96161
299,Align Brewing Co,8680 Miralani Dr,San Diego,CA,92126
300,All-American Ale Works,5120 E La Palma Ave Ste 103,Anaheim,CA,92807
301,Almanac Beer Company,651B W Tower Ave,Alameda,CA,94501
302,Alosta Brewing Co,692 Arrow Grand Cir,Covina,CA,91722
303,Alpenglow Beer Co,,Lafayette,CA,94549
304,Alpha Acid Brewing Co,121 Industrial Way Ste 12,Belmont,CA,94002
305,Alpine Beer Company,6550 Mira Mesa Blvd,San Diego,CA,92121
306,Alta Brewing Company,1983 Julian Avenue,San Diego,CA,92113
307,Altamont Beer Works,2402 Research Dr,Livermore,CA,94550
308,Alvarado Street Brewery,1315 Dayton St Ste E,Salinas,CA,93901
309,Alvarado Street Brewery & Grill,426 Alvarado St,Monterey,CA,93940
310,Amador Brewing Company,9659 Main St,Plymouth,CA,95669
311,Ambitious Ales,4019 Atlantic Ave,Long Beach,CA,90807
312,Amplified Ale Works,4150 Mission Blvd Ste 208,San Diego,CA,92109
313,Amplified Ale Works Miramar Studio,9030 Kenamar Dr Ste 309,San Diego,CA,92121
314,Anacapa Brewing Co,472 E Main St,Ventura,CA,93001
315,Anaheim Brewery,336 S Anaheim Blvd,Anaheim,CA,92805
316,Anchor Brewing Co,1705 Mariposa St,San Francisco,CA,94107
317,Anderson Valley Brewing Co,17700 CA-253,Boonville,CA,95415
318,Angel City Brewery,216 S Alameda St,Los Angeles,CA,90012
319,Angry Horse Brewing,603 W Whittier Blvd,Montebello,CA,90640
320,Anheuser-Busch Inc – Fairfield,3101 Busch Dr,Fairfield,CA,94534
321,Anheuser-Busch Inc - Los Angeles,15800 Roscoe Blvd,Van Nuys,CA,91406
322,Arcana Brewing Company,5621 Palmer Way Ste C,Carlsbad,CA,92010
323,Archaic Craft Brewery At Centro,140 E Main St,Tustin,CA,92780
324,Armistice Brewing Company,845 Marina Bay Pkwy Suite 1,Richmond,CA,94804
325,Armstrong Brewing Co,415 Grand Ave Ste 103,South San Francisco,CA,94080
326,Arrow Lodge Brewing,720 E Arrow Hwy Ste C,Covina,CA,91722
327,Artifex Brewing Company,919 Calle Amanecer Ste A,San Clemente,CA,92673
328,Arts District Brewing Company,828 Traction Ave,Los Angeles,CA,90013
329,Asian Brothers Brewing Company,4800 Florin Rd,Sacramento,CA,95823
330,Asylum Brewing,2970 E. La Palma Ave. Suite D,Anaheim,CA,92806
331,At Ease Brewing,,Sacramento,CA,95811
332,Attitude Brewing Company,1985 National Ave Ste 1115,San Diego,CA,92113
333,Auburn Alehouse,289 Washington St,Auburn,CA,95603
334,Automatic Brewing Co. / Blind Lady Alehouse,3416 Adams Ave,San Diego,CA,92116
335,Aztec Brewing Company,2330 La Mirada Dr Ste 300,Vista,CA,92081
336,Babe's Bar-B-Que and Brewhouse,71800 Highway 111 Ste A176,Rancho Mirage,CA,92270
337,Back Street Brewery & Tasting Room,1884 S Santa Cruz St,Anaheim,CA,92805
338,Bagby Beer Company,601 S Coast Hwy,Oceanside,CA,92054
339,Ballast Point Brewing Co / Home Brew Mart,5401 Linda Vista Rd Ste 406,San Diego,CA,92110
340,Ballast Point Brewing Company,9045 Carroll Way,San Diego,CA,92121
341,Ballast Point Brewing Company,110 N Marina Dr,Long Beach,CA,90803
342,Ballast Point Brewing Company,1580 S Disneyland Dr,Anaheim,CA,92802
343,Ballast Point Brewing Company,7606 Trade St,San Diego,CA,92121
344,Ballast Point Brewing Company - Little Italy,2215 India St,San Diego,CA,92101
345,Ballast Point San Francisco,,San Francisco,CA,94158
346,Bang the Drum Brewery,950 Orcutt Rd,San Luis Obispo,CA,93401
347,Barebottle Brewing Company,1525 Cortland Ave,San Francisco,CA,94110
348,Barley Forge Brewing,2957 Randolph Ave Ste B,Costa Mesa,CA,92626
349,Barn Brewery,2850 El Cajon Blvd Ste 3,San Diego,CA,92104
350,"Barrel Brothers Brewing Company, LLC",399 Business Park Ct. #506,Windsor,CA,95492
351,Barrel Harbor Brewing Co.,2575 Pioneer Ave Ste 104,Vista,CA,92081
352,Barrel Head Brewhouse,1785 Fulton St,San Francisco,CA,94117
353,Barrelhouse Brewing,3055 Limestone Way,Paso Robles,CA,93446
354,Bartlett Hall,242 Ofarrell St,San Francisco,CA,94102
355,Battlemage Brewing Co,2870 Scott St Ste 102,Vista,CA,92081
356,Bay Bridge Brewing Co,688 Marsat Ct Ste B,Chula Vista,CA,91911
357,Bay City Brewing Co.,3760 Hancock St,San Diego,CA,92110
358,Beach Chalet Brewing Co,1000 Great Hwy,San Francisco,CA,94121
359,Beach Grease Beer Company,1280 Activity Dr Ste B,Vista,CA,92081
360,Beachwood BBQ & Brewing,210 E 3rd St Ste A,Long Beach,CA,90802
361,Beachwood Blendery,247 Long Beach Blvd,Long Beach,CA,90802
362,Beachwood Brewing,7631 Woodwind Dr Ste B,Huntington Beach,CA,92647
363,Bear Belly Brewing Company,,Kings Beach,CA,96143
364,Bear Republic Brewing Co,345 Healdsburg Ave,Healdsburg,CA,95448
